meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,message
1219,9161,2023-09-16T14:04:25+00:00,,,Other,,,,FIA STEWARDS: TURN 4 INCIDENT INVOLVING CARS 1 (VER) AND 22 (TSU) WILL BE INVESTIGATED AFTER THE SESSION - IMPEDING
1219,9161,2023-09-16T14:07:20+00:00,,,Flag,YELLOW,Sector,2,YELLOW IN TRACK SECTOR 2
1219,9161,2023-09-16T14:07:22+00:00,,,Other,,,,DRS DISABLED IN ZONE 3
1219,9161,2023-09-16T14:07:29+00:00,,,Flag,CLEAR,Sector,2,CLEAR IN TRACK SECTOR 2
1219,9161,2023-09-16T14:07:29+00:00,,,Other,,,,DRS ENABLED IN ZONE 3
1219,9161,2023-09-16T14:08:00+00:00,,,Flag,CHEQUERED,Track,,CHEQUERED FLAG
1219,9161,2023-09-16T14:08:18+00:00,,,Other,,,,FIRST CAR TO TAKE THE FLAG - CAR 10 (GAS)
1219,9161,2023-09-16T14:10:31+00:00,,,Other,,,,TURN 3 INCIDENT INVOLVING CAR 16 (LEC) NOTED - FAILING TO SLOW UNDER YELLOW FLAGS
1219,9161,2023-09-16T14:10:46+00:00,,,Other,,,,CAR 23 (ALB) TIME 1:33.147 DELETED - TRACK LIMITS AT TURN 19 LAP 12 22:09:04
1219,9161,2023-09-16T14:11:27+00:00,,,Other,,,,Q3 WILL START AT 22:16
1219,9161,2023-09-16T14:16:00+00:00,,,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN
1219,9161,2023-09-16T14:16:15+00:00,,,Other,,,,FIA STEWARDS: TURN 3 INCIDENT INVOLVING CAR 16 (LEC) REVIEWED NO FURTHER INVESTIGATION - FAILING TO SLOW UNDER YELLOW FLAGS
1219,9161,2023-09-16T14:28:01+00:00,,,Flag,CHEQUERED,Track,,CHEQUERED FLAG
